"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"13004",13004,"fruits, légumes, légumineuses et oléagineux","légumes","Avocat, pulpe, cru","Avocado, pulp, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.26,0.33159514,1.4804702,1.6477499e-7,0.11863302,0.006069486,7.031216e-8,6.2936843e-8,8.6181134e-10,0.010230913,0.00026554565,0.0093323905,0.031441036,17.6193792,85.039709,23.643157,13.840711,0.000014188046
"20198",20198,"fruits, légumes, légumineuses et oléagineux","légumes","Bambou, pousse, crue","Bamboo shoots, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.6,0.21866577,1.074285,1.9035179e-7,0.16918527,0.0046956764,1.4146002e-7,9.4432392e-8,2.3699882e-9,0.018926099,0.00022138653,0.012078407,0.076766963,33.4111521,176.06328,3.2942159,13.668234,0.000011445798
"20188",20188,"fruits, légumes, légumineuses et oléagineux","légumes","Bambou, pousses, appertisées, égouttées","Bamboo shoots, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.93,0.26223191,1.6718919,2.6328416e-7,0.33803822,0.0067028482,1.6501705e-7,8.9572191e-8,4.3176406e-9,0.019540337,0.0004013316,0.011866793,0.076277408,33.8480861,161.57242,3.1797303,25.113316,0.00001251326
"53100",53100,"fruits, légumes, légumineuses et oléagineux","légumes","Banane plantain, crue","Plantain banana, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.6,0.11293187,0.72416839,1.1215552e-7,0.071173095,0.003731957,6.3748048e-8,4.7633081e-9,3.7059243e-10,0.0090051341,0.000094366522,0.0032280757,0.033664338,8.304969,21.88706,4.480318,8.1443203,0.0000037202712
"53101",53101,"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules","Banane plantain, cuite","Plantain banana, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",3,0.19143359,1.339249,1.4123846e-7,0.30153418,0.0054997038,9.6501365e-8,7.4478493e-9,5.7453699e-10,0.013176046,0.000160298,0.0045776004,0.047366725,12.018020700000001,31.449965,6.5635882,22.978885,0.0000067522817
"13005",13005,"fruits, légumes, légumineuses et oléagineux","fruits","Banane, pulpe, crue","Banana, pulp, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.46,0.11888502,0.88062043,1.3200688e-7,0.097406478,0.0044515554,8.9325968e-8,9.8693096e-9,5.1406196e-10,0.012407056,0.00012425202,0.0054220145,0.049969268,24.857605200000002,27.058753,1.0402864,10.041948,0.0000050588116
"13089",13089,"fruits, légumes, légumineuses et oléagineux","fruits","Banane, pulpe, sèche","Banana, pulp, dried","2",0,"Ambiant (moyen)","LDPE","Pas de préparation",2.96,0.55947387,2.1671679,1.8465131e-7,4.0966035,0.0064474591,2.4223026e-7,1.5070277e-8,1.2645227e-9,0.030056979,0.00046985919,0.010683779,0.12209056,34.028867,92.141635,19.597857,103.78454,0.00001706282
"20004",20004,"fruits, légumes, légumineuses et oléagineux","légumes","Bette ou blette, crue","Swiss chard, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.55,0.058016574,0.54275358,8.0634184e-8,0.20777382,0.0015720197,2.8966504e-8,8.3966508e-9,2.5989111e-10,0.0024427515,0.000071813238,0.0024212367,0.007715651,15.325797099999999,-20.643666,0.37389872,9.0430523,0.0000048876729
"20005",20005,"fruits, légumes, légumineuses et oléagineux","légumes","Bette ou blette, cuite","Swiss chard, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",2.98,0.10830592,1.0438344,1.1503497e-7,0.49499496,0.0026447626,4.3866839e-8,1.1155572e-8,4.0993593e-10,0.0038341947,0.00012086498,0.003044061,0.010993562,18.7376031,-23.537718,0.60427527,23.292192,0.0000081989983
"20091",20091,"fruits, légumes, légumineuses et oléagineux","légumes","Betterave rouge, crue","Beetroot, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.6,0.055678036,0.3643211,6.9138638e-8,0.07504361,0.0012794128,2.383536e-8,8.5672008e-9,2.4731477e-10,0.0021487918,0.000056149787,0.001367318,0.0065623638,17.5742503,9.4958462,1.9357757,5.3882923,0.0000025096168
